Country	Gold	Silver	Bronze	Total
CHINA	107	81	51	239
GREAT BRITAIN	64	39	44	147
UKRAINE	41	37	39	117
UNITED STATES	40	44	31	115
AUSTRALIA	22	30	29	81
GERMANY	18	25	14	57
NETHERLANDS	17	19	26	62
BRAZIL	14	29	29	72
ITALY	10	14	15	39
POLAND	9	18	12	39
SPAIN	9	14	8	31
FRANCE	9	5	14	28
NEW ZEALAND	9	5	7	21
CANADA	8	10	11	29
IRAN	8	9	7	24
UZBEKISTAN	8	6	17	31
NIGERIA	8	2	2	12
CUBA	8	1	6	15
BELARUS	8	0	2	10
REPUBLIC OF KOREA	7	11	17	35
TUNISIA	7	6	6	19
SOUTH AFRICA	7	6	4	17
THAILAND	6	6	6	18
GREECE	5	4	4	13
BELGIUM	5	3	3	11
SLOVAKIA	5	3	3	11
ALGERIA	4	5	7	16
IRELAND	4	4	3	11
MEXICO	4	2	9	15
EGYPT	3	5	4	12
SERBIA	3	2	4	9
NORWAY	3	2	3	8
MOROCCO	3	2	2	7
TURKEY	3	1	5	9
KENYA	3	1	2	6
MALAYSIA	3	0	1	4
COLOMBIA	2	5	10	17
UA EMIRATES	2	4	1	7
IRAQ	2	3	0	5
HONG KONG, CHINA	2	2	2	6
CROATIA	2	2	1	5
SWITZERLAND	2	2	1	5
INDIA	2	1	1	4
LITHUANIA	2	1	0	3
LATVIA	2	0	2	4
SINGAPORE	2	0	1	3
HUNGARY	1	8	9	18
AZERBAIJAN	1	8	2	11
SWEDEN	1	4	5	10
AUSTRIA	1	4	4	9
CZECH REPUBLIC	1	2	4	7
DENMARK	1	2	4	7
NAMIBIA	1	2	2	5
ARGENTINA	1	1	3	5
VIETNAM	1	1	2	4
FINLAND	1	1	1	3
TRINIDAD AND TOBAGO	1	1	1	3
KAZAKHSTAN	1	1	0	2
SLOVENIA	1	1	0	2
BAHRAIN	1	0	0	1
BULGARIA	1	0	0	1
GEORGIA	1	0	0	1
KUWAIT	1	0	0	1
JAPAN	0	10	14	24
VENEZUELA	0	3	3	6
JORDAN	0	2	1	3
QATAR	0	2	0	2
TAIPEI (CN TAIPEI)	0	1	1	2
BOSNIA & HERZEGOVINA	0	1	0	1
CÃ”TE D'IVOIRE	0	1	0	1
ETHIOPIA	0	1	0	1
UGANDA	0	1	0	1
PORTUGAL	0	0	4	4
ISRAEL	0	0	3	3
MONGOLIA	0	0	2	2
CAPE VERDE	0	0	1	1
INDONESIA	0	0	1	1
SAUDI ARABIA	0	0	1	1
MOZAMBIQUE	0	0	1	1
PAKISTAN	0	0	1	1
PHILIPPINES	0	0	1	1
ROMANIA	0	0	1	1
SRI LANKA	0	0	1	1
